term_str|n|n_chars|p|i|max_pos|max_pos_group|stop|porter_stem|song_dfidf|album_dfidf|anger|anticipation|disgust|fear|joy|negative|positive|sadness|surprise|trust|sentiment
argue|5|5|2.595959648403225e-05|15.23337251617719|NNP|NN|0|argu|17.792664807819882|10.951466861932795|1|0|0|0|0|1|0|0|0|0|-1
art|15|3|7.787878945209675e-05|13.648410015456031|NN|NN|0|art|37.8720215451129|17.90293372386559|0|1|0|0|1|0|1|1|1|0|1
ashes|22|5|0.0001142222245297|13.095868992427254|NNS|NN|0|ash|55.17065923127954|23.344625581471448|0|0|0|0|0|1|0|1|0|0|-1
assembly|1|8|5.191919296806451e-06|17.555300611064553|RB|RB|0|assembl|9.89633240390994|6.475733430966398|0|0|0|0|0|0|1|0|0|1|1
avoid|7|5|3.634343507764516e-05|14.747945689006947|NNP|NN|0|avoid|43.86821941913272|23.344625581471448|0|0|0|1|0|1|0|0|0|0|-1
awful|4|5|2.0767677187225803e-05|15.55530061106455|JJ|JJ|0|aw|31.58532961563977|14.672312790735724|1|0|1|1|0|1|0|1|0|0|-1
baby|211|4|0.0010954949716261|9.834201422357363|NN|NN|0|babi|294.3372584150192|44.71727974248042|0|0|0|0|1|0|1|0|0|0|1
backbone|8|8|4.1535354374451605e-05|14.55530061106455|NN|NN|0|backbon|37.8720215451129|20.76902668039518|1|0|0|0|0|0|1|0|0|1|1
backwards|7|9|3.634343507764516e-05|14.747945689006947|NNS|NN|0|backward|31.58532961563977|14.672312790735724|0|0|1|0|0|1|0|0|0|0|-1
bad|136|3|0.0007061010243656|10.467837769814212|JJ|JJ|0|bad|209.79950542994197|47.23419728306216|1|0|1|1|0|1|0|1|0|0|-1
bait|9|4|4.672727367125805e-05|14.38537560962224|NN|NN|0|bait|31.58532961563977|17.90293372386559|0|0|0|1|0|1|0|0|0|1|-1
battle|10|6|5.19191929680645e-05|14.23337251617719|NN|NN|0|battl|55.17065923127954|25.678649562361556|1|0|0|0|0|1|0|0|0|0|-1
bear|17|4|8.826262804570965e-05|13.467837769814212|NNP|NN|0|bear|49.62284237296636|25.678649562361556|1|0|0|1|0|0|0|0|0|0|0
beast|21|5|0.0001090303052329|13.162983188285793|NN|NN|0|beast|49.62284237296636|25.678649562361556|1|0|0|1|0|1|0|0|0|0|-1
beating|12|7|6.23030315616774e-05|13.970338110343397|VBG|VB|0|beat|31.58532961563977|17.90293372386559|1|0|0|1|0|1|0|1|0|0|-1
beautiful|37|9|0.0001921010139818|12.345847245435602|JJ|JJ|0|beauti|127.47287767653086|43.07610672158071|0|0|0|0|1|0|1|0|0|0|1
beauty|8|6|4.1535354374451605e-05|14.55530061106455|NN|NN|0|beauti|49.62284237296636|23.344625581471448|0|0|0|0|1|0|1|0|0|0|1
beg|19|3|9.864646663932256e-05|13.307373097620966|VB|VB|0|beg|43.86821941913272|23.344625581471448|0|0|0|0|0|1|0|1|0|0|-1
believing|12|9|6.23030315616774e-05|13.970338110343397|NN|NN|0|believ|55.17065923127954|23.344625581471448|0|0|0|0|0|0|1|0|0|1|1
birth|9|5|4.672727367125805e-05|14.38537560962224|NN|NN|0|birth|31.58532961563977|17.90293372386559|0|1|0|1|1|0|1|0|0|1|1
birthday|6|8|3.11515157808387e-05|14.970338110343397|NN|NN|0|birthday|31.58532961563977|17.90293372386559|0|1|0|0|1|0|1|0|1|0|1
black|139|5|0.000721676782256|10.436359538341044|JJ|JJ|0|black|226.3234979711905|46.65662486586687|0|0|0|0|0|1|0|1|0|0|-1
